threshold,recall_rate,false_fire_rate
0.30,1.0000,1.0000
0.32,1.0000,1.0000
0.34,1.0000,1.0000
0.36,1.0000,1.0000
0.38,1.0000,1.0000
0.40,1.0000,1.0000
0.42,1.0000,1.0000
0.44,1.0000,0.9286
0.46,1.0000,0.8571
0.48,1.0000,0.7857
0.50,1.0000,0.6429
0.52,1.0000,0.5714
0.54,0.9697,0.5000
0.56,0.8788,0.4286
0.58,0.8485,0.2857
0.60,0.8182,0.2143
0.62,0.7576,0.0714
0.64,0.6970,0.0714
0.66,0.6364,0.0714
0.68,0.6364,0.0714
0.70,0.6364,0.0714
0.72,0.5758,0.0714
0.74,0.5455,0.0000
0.76,0.5152,0.0000
0.78,0.4545,0.0000
0.80,0.2121,0.0000
0.82,0.0909,0.0000
0.84,0.0303,0.0000
0.86,0.0303,0.0000
0.88,0.0000,0.0000
0.90,0.0000,0.0000
0.92,0.0000,0.0000
0.94,0.0000,0.0000
